"";BBK01.SU0512R;BBK01.SU0512R_FLAGS
"";Habenzinsen Banken / Sichteinlagen von Privatkunden mit höherer Verzinsung / Realverzinsung;
BBK_COMM_GEN;Berechnet basierend auf der exakten Formulierung der Fisher-Equation unter Verwendung der Zeitreihen BBK01.SU0512 (entsprechender Nominalzinssatz) und BBDP1.M.DE.N.VPI.C.A00000.VGJ.LV (Verbraucherpreisindex für Deutschland). Der Verbraucherpreisindex beruht auf Berechnungen der Bundesbank auf Basis von Angaben des Statistischen Bundesamtes. Ab 1963: Preisindex für die Lebenshaltung aller privater Haushalte. Ab 2000: Verbraucherpreisindex.;
BBK_DECIMALS;2;
Dimension;Eins;
Einheit;% p.a.;
TIME_FORMAT;P1M;
Stand vom;05.05.2023 10:10:48 Uhr;
1996-11;0,50;
1996-12;0,35;
1997-01;-0,13;
1997-02;0,35;
1997-03;0,36;
1997-04;0,55;
1997-05;0,37;
1997-06;0,34;
1997-07;-0,45;
1997-08;-0,46;
1997-09;-0,25;
1997-10;-0,13;
1997-11;-0,23;
1997-12;-0,11;
1998-01;0,67;
1998-02;0,69;
1998-03;0,80;
1998-04;0,60;
1998-05;0,67;
1998-06;0,69;
1998-07;1,18;
1998-08;1,50;
1998-09;1,59;
1998-10;1,57;
1998-11;1,58;
1998-12;1,67;
1999-01;1,83;
1999-02;1,80;
1999-03;1,58;
1999-04;1,16;
1999-05;1,18;
1999-06;1,20;
1999-07;1,11;
1999-08;0,89;
1999-09;0,88;
1999-10;0,87;
1999-11;0,73;
1999-12;0,48;
2000-01;0,10;
2000-02;0,33;
2000-03;0,38;
2000-04;0,92;
2000-05;0,99;
2000-06;0,80;
2000-07;0,86;
2000-08;1,05;
2000-09;0,68;
2000-10;0,71;
2000-11;0,87;
2000-12;0,50;
2001-01;1,02;
2001-02;0,59;
2001-03;0,57;
2001-04;0,09;
2001-05;-0,35;
2001-06;-0,08;
2001-07;0,30;
2001-08;0,28;
2001-09;0,35;
2001-10;0,20;
2001-11;0,45;
2001-12;0,22;
2002-01;-0,10;
2002-02;-0,04;
2002-03;-0,22;
2002-04;0,36;
2002-05;0,64;
2002-06;0,74;
2002-07;0,74;
2002-08;0,61;
2002-09;0,59;
2002-10;0,55;
2002-11;0,66;
2002-12;0,55;
2003-01;0,46;
2003-02;0,25;
2003-03;0,38;
2003-04;0,45;
2003-05;0,83;
2003-06;0,26;
