Time,Credit Default Rate,"CPI, US","Unemployment, US","GDP, US","Total-investment, US",World Economic Climate (ifo),Real Disposable Personal Income US,"Personal Saving Rate, US",Crude Oil Price 
Q2 2006,0.073515618,170.1,0.0403,3233.82,697.23,27.2,9341.489,4.3,29.84
Q3 2006,0.065776321,171.43,0.0393,3292.68,708.15,29.2,9452.972,4.8,31.82
Q4 2006,0.068523349,173,0.04,3295.98,710.18,25.4,9575.362,4.5,33.88
Q1 2007,0.063709867,174.23,0.039,3315.57,713.8,19.4,9634.936,4.4,28.44
Q2 2007,0.070609971,175.9,0.0423,3304.82,712.03,2.6,9713.363,5.3,27.25
Q3 2007,0.077027801,177.13,0.044,3325.35,710.23,-3.6,9688.375,4.4,27.6
Q4 2007,0.079568515,177.63,0.0483,3312.02,701.33,-8.8,9899.718,7,26.2
Q1 2008,0.087166188,177.5,0.055,3321.23,693.95,-23.7,9735.328,3.8,19.39
Q2 2008,0.086467044,178.07,0.057,3348.73,691.65,-11.4,9963.91,5.6,24.53
Q3 2008,0.090556901,179.47,0.0583,3369.35,691.78,11.2,10044.57,6.2,25.52
Q4 2008,0.089026723,180.43,0.0573,3382.93,693.13,6.3,10059.497,5.9,29.66
Q1 2009,0.076495092,181.5,0.0587,3387.35,692.75,-7.4,10123.367,5.4,29.46
Q2 2009,0.068817715,183.37,0.0587,3404.85,697.83,-2.3,10117.53,5,33.51
Q3 2009,0.062858206,183.07,0.0613,3435.27,711.45,-3.2,10244.597,5.3,30.66
Q4 2009,0.056924414,184.43,0.0613,3492.55,732.98,6.3,10423.999,5.1,28.31
Q1 2010,0.049455776,185.13,0.0583,3532.85,744.38,18.5,10452.764,5.2,32.13
Q2 2010,0.043636727,186.7,0.057,3553.07,742.58,33.5,10499.176,4.7,36.74
Q3 2010,0.041782533,188.17,0.056,3580.75,760,29.9,10608.323,5.6,38.03
Q4 2010,0.039398989,189.37,0.0543,3614.45,772.9,29.1,10684.289,4.4,45.94
Q1 2011,0.040557727,191.4,0.0543,3651.4,784.18,21.6,10819.323,6.6,43.15
Q2 2011,0.041409029,192.37,0.053,3691.95,795.73,21.8,10688.258,3.1,54.19
Q3 2011,0.040612579,193.67,0.051,3709.93,807.53,17.8,10792.048,2.6,56.35
Q4 2011,0.042543521,196.6,0.0497,3739.07,819.18,15.7,10837.234,2.7,65.59
Q1 2012,0.038112555,198.43,0.0497,3760.3,822.6,15.9,10928.027,3.1,59.41
Q2 2012,0.036560535,199.47,0.0473,3811.02,838.88,26.8,11147.942,4.1,62.69
Q3 2012,0.038495089,201.27,0.0463,3820.38,836.43,29.6,11190.384,3.7,70.95
Q4 2012,0.040928408,203.17,0.0463,3826.12,830.15,22.1,11212.758,3.2,63.8
Q1 2013,0.045126782,202.33,0.0443,3858.4,826.35,21.9,11355.288,3.5,61.96
Q2 2013,0.051384136,204.32,0.045,3869.75,826.5,24.6,11439.487,3.9,60.44
Q3 2013,0.054514035,206.63,0.045,3894.45,832.55,20.4,11491.322,3.5,67.49
Q4 2013,0.060259307,207.94,0.0467,3917.9,829.05,30.2,11511.217,3.1,79.92
Q1 2014,0.066552861,210.49,0.048,3941.77,824.4,10.4,11529.333,3.2,91.69
Q2 2014,0.071575585,212.77,0.05,3925.73,813.58,-0.1,11548.758,3.4,105.45
