Time,Credit Default Rate,"CPI, US","Unemployment, US","GDP, US","Total-investment, US","Business Climate Index, Germany, seasonally adjusted, End of Period (ifo)","Households' income, Gross wages and salaries, Germany, in Billion Euro (Bundesbank)",World Economic Climate (ifo),"Real Disposable Personal Income, US, in Billions Dollars, Seasonally Adjusted Annual Rate (Bureau of Economic Analysis/FRED)","Personal Saving Rate, US, Percent, Monthly, Seasonally Adjusted Annual Rate (FRED)","Crude Oil WTI Spot Price FOB, US, Dollars per Barrel, (eia)","Loan Performance: Total Loans and Leases: Noncurrent Rate, US, Not Seasonally Adjusted","Delinquency Rate on All Loans, All Commercial Banks, US, Not Seasonally Adjusted",Moody's Seasoned Baa Corporate Bond Yield Relative to Yield on 10-Year Treasury Constant Maturity
Q2 2006,0.073515618,170.1,0.0403,3233.82,697.23,72.95198135,206897,27.2,9341.489,4.3,29.84,0.93055042,2.08,2.42
Q3 2006,0.065776321,171.43,0.0393,3292.68,708.15,73.89079254,215723,29.2,9452.972,4.8,31.82,0.96376742,2.19,2.42
Q4 2006,0.068523349,173,0.04,3295.98,710.18,74.82960373,224169,25.4,9575.362,4.5,33.88,1.0508218,2.4,2.65
Q1 2007,0.063709867,174.23,0.039,3315.57,713.8,75.76841492,253267,19.4,9634.936,4.4,28.44,1.11918219,2.44,2.84
Q2 2007,0.070609971,175.9,0.0423,3304.82,712.03,76.70722611,213216,2.6,9713.363,5.3,27.25,1.17079405,2.48,2.76
Q3 2007,0.077027801,177.13,0.044,3325.35,710.23,77.6460373,220504,-3.6,9688.375,4.4,27.6,1.24386416,2.71,2.94
Q4 2007,0.079568515,177.63,0.0483,3312.02,701.33,78.58484848,227127,-8.8,9899.718,7,26.2,1.30497083,2.82,3.16
Q1 2008,0.087166188,177.5,0.055,3321.23,693.95,79.52365967,256934,-23.7,9735.328,3.8,19.39,1.36827607,2.76,2.88
Q2 2008,0.086467044,178.07,0.057,3348.73,691.65,80.46247086,215522,-11.4,9963.91,5.6,24.53,1.36610316,2.67,2.92
Q3 2008,0.090556901,179.47,0.0583,3369.35,691.78,81.40128205,222276,11.2,10044.57,6.2,25.52,1.39123584,2.68,3.36
Q4 2008,0.089026723,180.43,0.0573,3382.93,693.13,82.34009324,229771,6.3,10059.497,5.9,29.66,1.36318455,2.65,3.6
Q1 2009,0.076495092,181.5,0.0587,3387.35,692.75,83.27890443,258082,-7.4,10123.367,5.4,29.46,1.31085794,2.54,3.2
Q2 2009,0.068817715,183.37,0.0587,3404.85,697.83,84.21771562,215911,-2.3,10117.53,5,33.51,1.23519367,2.34,2.85
Q3 2009,0.062858206,183.07,0.0613,3435.27,711.45,85.15652681,222217,-3.2,10244.597,5.3,30.66,1.16863086,2.22,2.58
Q4 2009,0.056924414,184.43,0.0613,3492.55,732.98,86.095338,229887,6.3,10423.999,5.1,28.31,1.12200826,2.21,2.38
Q1 2010,0.049455776,185.13,0.0583,3532.85,744.38,87.03414918,257049,18.5,10452.764,5.2,32.13,1.00479394,1.96,2.26
Q2 2010,0.043636727,186.7,0.057,3553.07,742.58,87.97296037,218211,33.5,10499.176,4.7,36.74,0.8905647,1.79,2.06
